Tahun,Judul Lagu,Artis

2011,Cinta Terlarang,The Virgin
2011,Lelaki Cadangan,T2
2011,Perfect Two,Auburn
2011,A Thousand Years,Christina Perri
2011,Someone Like You,Adele
2011,Rolling in the Deep,Adele
2011,Pumped Up Kicks,Foster the People
2011,Set Fire to the Rain,Adele
2011,Grenade,Bruno Mars
2011,Just the Way You Are,Bruno Mars
2011,On The Floor,Jennifer Lopez feat. Pitbull
2011,Gangnam Style,Psy
2011,Domino,Jessie J
2011,Party Rock Anthem,LMFAO
2011,E.T.,Katy Perry feat. Kanye West
2011,The Lazy Song,Bruno Mars
2011,We Found Love,Rihanna feat. Calvin Harris
2011,Love You Like a Love Song,Selena Gomez & The Scene
2011,Give Me Everything,Pitbull feat. Ne-Yo
2011,Jar of Hearts,Christina Perri

2012,Pura-Pura Lupa,Maudy Ayunda
2012,Sudah Tak Cinta,D'Bagindas
2012,Payphone,Maroon 5 feat. Wiz Khalifa
2012,We Are Young,Fun. feat. Janelle Monáe
2012,Somebody That I Used to Know,Gotye feat. Kimbra
2012,Call Me Maybe,Carly Rae Jepsen
2012,Wide Awake,Katy Perry
2012,One More Night,Maroon 5
2012,Diamonds,Rihanna
2012,As Long As You Love Me,Justin Bieber feat. Big Sean
2012,Glad You Came,The Wanted
2012,Locked Out of Heaven,Bruno Mars
2012,Starships,Nicki Minaj
2012,Stronger (What Doesn't Kill You),Kelly Clarkson
2012,Titanium,David Guetta feat. Sia
2012,Whistle,Flo Rida
2012,Boyfriend,Justin Bieber
2012,Give Your Heart a Break,Demi Lovato
2012,Take Care,Drake feat. Rihanna
2012,Good Time,Owl City & Carly Rae Jepsen

2013,Sakitnya Tuh di Sini,Cita Citata
2013,Tanpa Cinta,Husein Alatas
2013,Wrecking Ball,Miley Cyrus
2013,Royals,Lorde
2013,Blurred Lines,Robin Thicke feat. T.I. & Pharrell
2013,Get Lucky,Daft Punk feat. Pharrell Williams
2013,Ruined In A Day,New Order
2013,Stay,Rihanna feat. Mikky Ekko
2013,Mirrors,Justin Timberlake
2013,Wake Me Up,Avicii
2013,Counting Stars,OneRepublic
2013,Roar,Katy Perry
2013,Applause,Lady Gaga
2013,Suit & Tie,Justin Timberlake feat. Jay-Z
2013,Clarity,Zedd feat. Foxes
2013,Summertime Sadness,Lana Del Rey
2013,Treasure,Bruno Mars
2013,We Can't Stop,Miley Cyrus
2013,The Monster,Eminem feat. Rihanna
2013,Hold On, We're Going Home

2014,Suka Sama Kamu,Cita Citata
2014,Sakitnya di Sini,Seventeen
2014,All of Me,John Legend
2014,Chandelier,Sia
2014,Problem,Ariana Grande feat. Iggy Azalea
2014,Stay with Me,Sam Smith
2014,Happy,Pharrell Williams
2014,Shake It Off,Taylor Swift
